Rating,Review_title,Review_comment,Hotel_site
3,"Probably the best choice in the town, but with its own issues",service really excellent staff trained greet smile guest creates really good ambience one non apparent advantage hotel electricity generator help lot power shortage city quite common view window hard beat room facing city course need double checked general many official un alike delegation hosted hotel also sign relative quality general cleanliness room average especially regard bed sheet laundry simply left unattended room problem drying machine phone room not functioning elevator go reception considerable drawback given city altitude,Gondar
4,Very good,best breakfast ethiopia found western standard leaking bathtub room,Gondar
0,Worst experience in Ethiopia. Don't ever stay there!,booked hotel advertise swimming pool problem constant cleaning maintenance not available use even though staff promise available following day room cold shower water not go restaurant never get topping pizza summery asked discount bill due inconvenience refused,Gondar
2,"May be the best hotel in Gondar, just consider standards are different from other places",wifi often saturated not allow connection breakfast looked stale shower drain clogged bathroom not flush properly bed linen felt cheap,Gondar
5,I am very happy,good customer service,Gondar
4,Superb,happy quality accommodation airport pickup,Gondar
4,Superb,good location main site nice friendly staff appreciated airport shuttle pleasant room,Gondar
5,Amazing,amazing hotel great location gondar room clean strong wifi hot water also nice pool breakfast buffet huge dinner restaurant delicious reception staff absolutely fantastic organised tour castle gondar hiking simien mountain even early bus tsebri highly recommend haile resort,Gondar
2,Disappointing,hotel situated good location check process smooth foul smell coming bathroom space look well overdue renovation crack wall damaged door etc checkout experience horrible due inefficient system,Gondar
0,Do not go to haile gondar!!!!,hotel facility bad not fit name brand,Gondar
2,Disappointing,really tasty food coffee really nicely decorated room traditional coffee friendly staff think place highly overrated presented one best country recommended rather disappointing not sure haile resort part country one not good price better maintenance needed room water kettle make tea room missing much cheaper hotel dent wall cable sticking light room flickering table lamp not working unpleasant experience hotel staff cleaning lady came knock door partner opened not explain english came walked room laying bed half naked half sleeping turned light hit switch room left without word word still quite shocked never happen please make sure not also aware swimming pool resort apparently also open public not guest crowded moreover bed pool also half broken not comfortable maintenance needed many thing wrong unfortunately need give low score place cant recommend place stay gonder,Gondar
0,Disappointing,food suck bathroom smell shower not work,Gondar
5,Great for the stay and city exploration,new clean comfortable,Gondar
5,Exceptional,solid stay gondar helpful staff comfortable clean room,Gondar
2,Disappointing,location noisy thing worked,Gondar
0,They refused to respond my phone calls.,drive shoot phone,Gondar
4,Very good,good,Gondar
3,Pleasant,pleasant,Gondar
4,Very good,good,Gondar
2,Disappointing,disappointing,Gondar
4,Superb,superb,Gondar
4,Superb,superb,Gondar
4,Superb,superb,Gondar
5,Exceptional,exceptional,Gondar
4,Superb,superb,Gondar
4,Superb,superb,Gondar
4,Superb,superb,Gondar
4,Superb,superb,Gondar
5,Exceptional,exceptional,Gondar
5,Exceptional,exceptional,Gondar
4,Superb,superb,Gondar
2,Passable,passable,Gondar
1,Poor,poor,Gondar
4,Very good,good,Gondar
3,Good,good,Gondar
4,Very good,good,Gondar
3,Good,good,Gondar
4,Superb,superb,Gondar
5,Exceptional,exceptional,Gondar
4,Superb,superb,Gondar
2,Passable,passable,Gondar
0,Bad,bad,Gondar
4,Very good,one best hotel gondar staff not speak much english popular event place local need expect noise,Gondar
5,Exceptional,excellent room,Gondar
5,Exceptional,exceptional,Gondar
5,Exceptional,exceptional,Gondar
4,Very good,staff friendly lot make feel comfortable,Gondar
5,Exceptional,attentive staff,Gondar
5,Very good hotel but expensive,good hotel ethiopian standard friendly helpful staff clean large room decent tv bathroom need renovated hot shower wifi work router installed front room fridge hardly cool kettle room breakfast plentiful ethiopia also includes western dish egg dish fruit bread unfortunately price high,Gondar
5,Exceptional,went wife great experience,Gondar
1,Poor,poor,Gondar
3,Good,good,Gondar
3,Good,hotel pretty worn condition quite hot night average restaurant nice thing pool please note not restricted hotel guest arrived sunday completely full day user summary hotel pretty average pool nice,Gondar
4,International style accommodation in Gondar,hotel clean staff helpful pool look good however not use breakfast many choice including western dish compared ethiopia bed comfortable towel great specifically not close bathroom door shower not comfortable operate working wifi room unless stood door,Gondar
5,Exceptional,excellent view gondar surrounding mountain staff attenetive friendly room clean nicely appointed,Gondar
5,Great option at the more luxurious end in Gondar,relatively expensive good option gondar conveniently placed beautiful setting benefit slick comfortable restaurant premise outside terrace great evening drink watching sun set gondar planning hike simiens book return night resort store luggage free also upgraded junior suite without particular reason ascertain water pressure not great shower think gondar hotel staff great warm friendly engaged bit tired roughing make nice change pace western standard affordable price,Gondar
3,Good,good,Gondar
4,Very good,good,Gondar
4,Comfortable stay,stayed simien mountain bike service great include complimentary airport pick drop room stayed comfortable everything needed dark though sun go lighting not good wifi terrible room though get standing right door better go outside lobby use inconvenient time stay went back gondar,Gondar
5,Highly recommended without a doubt.,detail fruit tray upon arrival comfortable room fridge kettle excellent breakfast view room great highly recommended staff attentive,Gondar
5,Exceptional,exceptional,Gondar
2,Fair,bad check experience towel provided ask time course hour got bedsheets also damp not changed hour asked bathroom ventilation system awful smell toilet cigarette smoke neighbouring room room wall paper thin sandwiched noisy family guy tv full blast past reported reception lack ventilation room became incredibly hot morning kettle room lift elevator property either phone not work contact number sheet provided calling reception quickly lack conveniently placed power socket room free airport transfer helpful however wifi decent breakfast not bad,Gondar
4,Very good,view castle good location quite near centre town property nice swimming pool functional least visit restaurant wide choice pretty good,Gondar
4,Very good,provided excellent guide breakfast good dinner inedible also ethiopian seated next eating traditional ethiopian food said barely ok stay hotel part not eat anything except breakfast recommendation,Gondar
5,Exceptional,nice hotel clean well located town close everything varied breakfast attentive staff,Gondar
5,Exceptional,exceptional,Gondar
4,Very good,like big room gave u unfortunately hot tub room not worked also amenity said dry wet sauna gym pool yet moment pool wanted enjoy dry sauna,Gondar
4,Very good,good hotel spa sauna not working month advertised booked,Gondar
5,Fully recommend,day enjoy time much hotel staff kind helpful room clean well equiped even hair conditiiner hairdryer cold drink,Gondar
4,"Wonderful staff, but a bit maintanance required",staff wonderful usual ethiopia wifi signal weak room connect corridor lighting room insufficient socket not work mosquito net breakfast ok elevator not big deal issue others location good quite close four sister restaurant not far away castle,Gondar
5,Where 5+ star hotel experience exists,haile resort hawassa great choice anyone value cleanliness friendliness professional service resort well maintained spotless room facility staff courteous attentive efficient making sure every guest feel welcome satisfied service excellent check check everything resort also lot amenity pool spa gym restaurant location ideal close lake city center fantastic time haile resort hawassa definitely stay gem place ethiopia,Hawassa
4,A fantastic resort with everything you need and more!,property comfortable clean landscaping impeccable staff hospitable food outstanding,Hawassa
4,Superb,great location view food facility quality haile hotel not disappointed far temperature shower not regulated well either boiling ice cold water come,Hawassa
3,very enjoyable,nice location ground well taken care staff helpful friendly lot child,Hawassa
4,Relaxing working weekend,space view atmosphere great comfort spacious balcony complement great room large comfortable sofachairs good working space lightning effectively organised gym wel equipped trainer available breakfast lacked healthy vegetarian option dinner menu card,Hawassa
4,Very good,massage location friendly helpful staff jacuzzi hot tub not working lot wine unavailable,Hawassa
4,Very nice always a pleasure to stay at the Haille,everything smoking area far away,Hawassa
4,Superb,water little,Hawassa
4,perfect get away for a weekend,staff exceptionally friendly helpful view wonderful really enjoyed stay,Hawassa
4,A great stay for some relaxing days,great stay night resort loved stay bit longer room great view lake area hotel beautiful see lot different bird also hippo mum small baby staff really friendly helpful restaurant offer good meal good spa also loved area outside big tree snack drink wifi room quite weak,Hawassa
4,Overall a wonderful stay,lot option wished plain scrambled egg bacon,Hawassa
4,"Great stay, very accommodating staff.",great place fantastic staff really made feel welcome front office team went way help film crew meal time request meal great always large selection traditional international cuisine available,Hawassa
4,It was wow.,staff cooperativeness view,Hawassa
4,Was sweet and pretty,location good,Hawassa
4,Overall very nice,great bkfst great staff little noisy night,Hawassa
4,Very good,staff committment professional approach morning coffee breakfast old towel,Hawassa
4,highly recommended place,welcoming place quite chill stuff respectful amazing place beautiful view lake must try,Hawassa
4,Very good,staff kindness cleaning service restaurant wifi poor continuously disconnecting,Hawassa
3,Perfect,location perfect room expected breakfast great lot variety staff polite welcoming,Hawassa
4,Excellent stay. Very helpful and cheerful staff. Margret was exceptionally good,cheerful staff location hotel pool not heated heated pool add value propert,Hawassa
3,Good,liked amazing nature view hotel welcoming staff room size airport free shuttle plus breakfast not good international option bakery not fresh not get room pm due huge group mosquito place,Hawassa
4,Very good,breakfast staff member location entertaining facility not enough door key one room key family member five two room two door interconected,Hawassa
4,thanks,good,Hawassa
5,Perfect,breakfast delicious great variety food rich one select omelet boiled egg hot dish cold dish etc selection fruit rich freshly squeezed juice also loved black coffee hotel staff courteous go beyond accommodate help,Hawassa
5,Exceptional,number ethiopia heart respect,Hawassa
5,Exceptional,amazing location spacious comfortable room nice environment,Hawassa
5,Unforgettable and Memorable,excellent fantastic,Hawassa
5,Exceptional,really happy staying haile resort stuff great coustemr service wish staying longer really happy every great clean,Hawassa
5,Exceptional,pool spa gym seating area view staff room absolutely fantastic mekdes wedeye great server help curtain bit broken made work water bottle expensive staying day nice staying hotel discount restaurant also nice pool sitting area pool get hot nice sit shallow water also nice plant something first floor roof view nice dirty roof bit putting,Hawassa
5,Great Hospitality.,ethiopian hotel learn try make swimming pool warm facility best keep also best family vacation cold swimming pool,Hawassa
1,Good location but poor service!,location amazing specifically wine bar great not towel bathroom literally beg called reception downstairs actually asked whether taken misplaced towel go reception time ask towel bathrobe kept saying send right away every time frustrating finally brought room almost later frustrating,Hawassa
5,Exceptional,staff friendly lakeview amazing food restaurant really good,Hawassa
5,Exceptional,enjoyed stay haile resort hawassa much view lake nice sunset enjoyed birdlife boat trip hotel nice saw hippo food great staff super friendly really recommand hotel door key not always work apparently sensetive telephone call,Hawassa
1,Poor,everything great bad internet connection,Hawassa
5,Exceptional,everything amazing location resort staff helpful specially mergert even organized special event wife passed exam thing every thing perfect,Hawassa
5,Exceptional,suite confortable lot activity food delicious maybe city around hotel not visit enough careful want visit shashamene,Hawassa
3,Good,good,Hawassa
1,Poor,poor,Hawassa
3,Good,good,Hawassa
4,Superb,superb,Hawassa
4,Superb,superb,Hawassa
3,Good,good,Hawassa
4,Very good,good,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
4,Very good,good,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
4,Very good,good,Hawassa
3,Good,good,Hawassa
4,Superb,superb,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
3,Good,good,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
3,Good,good,Hawassa
4,Very good,good,Hawassa
4,Very good,good,Hawassa
3,Good,good,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
4,Superb,superb,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,best trip,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
1,Very poor,poor,Hawassa
5,Exceptional,exceptional,Hawassa
3,Pleasant,pleasant,Hawassa
2,Passable,passable,Hawassa
5,Exceptional,exceptional,Hawassa
2,Passable,passable,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
4,Very good,good,Hawassa
4,Very good,good,Hawassa
4,Superb,superb,Hawassa
4,Superb,superb,Hawassa
4,Very good,good,Hawassa
0,Bad,bad,Hawassa
0,Bad,bad,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Fantastic stay!,fantastic property never cease amaze u well maintained garden clean lake bird happy hippo exceptional service reception housekeeping security food service breakfast buffet always highlight stay haile resort come gain,Hawassa
5,Highly recommend,staff wonderful accommodating u weather supported u really appreciate place great swam pool wine lake saw hippo lake food tasty comfortable room highly recommend,Hawassa
5,Exceptional,great setting lake staff extremely friendly room quite comfortable,Hawassa
5,Great resort!,wonderful attentive staff delicious breakfast meal gorgeous location,Hawassa
5,Love this resort!,excellent service beautiful location delicious food warm atmosphere,Hawassa
5,Magical place,good stay hotel staff helpful place superb food good game child great cardio machine gym old decoration restaurant bit old fashionned conclusion good time family magical setting,Hawassa
5,Exceptional,amazing stay,Hawassa
5,Exceptional,experience haile resort nothing short exceptional combination luxurious accommodation outstanding service prime location made memorable stay special mention go ephrem shuttle driver exceptionally courteous helpful making transfer airport seamless enjoyable highly recommend hotel anyone visiting awassa look forward returning next trip,Hawassa
5,Exceptional,fabulous location clean,Hawassa
5,Exceptional,lovely hotel great view lake restaurant good not overpriced clean room great shower staff nice,Hawassa
5,Excellent,staff attentive need professional great stay location excellent,Hawassa
5,Exceptional,beautiful amazing experience,Hawassa
5,Exceptional,hotel full polite friendly staff felt white woman staying black partner female staff around restaurant interactive reason l givecthe hotel general thankyou looking u,Hawassa
4,Very good,accounting redervation systemvery weak,Hawassa
5,Exceptional,resort awesome staff member professional every resort clean neat highly recommend haile resort love haile resort staff employee well educated know treat customer oh forget mention food delicious healthy house keeping number one left room breakfast house keeper clean room everything need room event big small haile resort birthday anniversary honeymoon reason said honeymoon beautiful wife really enjoyed honeymoon not tell surprised decorated room every single day stay make cake honeymoon note not get surprised thing covered haile resort paid room cake decoration room freeeeeee freeeeeee money gonna expend resort cheap compare safety matter haile resort haile resort left unforgettable memory honeymoon haile resort number one book not not like clean room good customer service delicious healthy food safety consider mentioned choose haile resort haile resort haile resort book desta dibora,Hawassa
3,Good,good,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
4,Very good,good,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
3,Good,good,Hawassa
5,Exceptional,exceptional,Hawassa
4,Very good,good,Hawassa
5,Exceptional,exceptional,Hawassa
5,dream by the lake,staff extremely friendly polite started door security continued way free shuttle airport hotel spotlessly clean toilet constantly cleaned location lake fantastic see photo negative point restaurant like many restaurant ethiopia us glutamate cooking not problem recommend haile resort without reservation,Hawassa
5,Exceptional,excellent resort beautiful location friendly staff,Hawassa
5,Comfortable stay and helpful staff,great resort good service beautiful lake side view relaxed atmosphere,Hawassa
5,Exceptional,excellent hotel friendly accommodating staff excellent food selection choice breakfast beautiful setting view lake awassa floor stunning changed every time looked window problem initial room request quickly fixed thing u,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional hotel,superb hotel amazing staff bc delicious food perfect equation great trip loved everything hotel,Hawassa
5,Exceptional,exceptional,Hawassa
5,Exceptional,exceptional,Hawassa
5,great views!,enjoyable comfortable resort nicely priced first night view lake obstructed beautiful tree resort full night next night moved another room spectacular view lake,Hawassa
5,Exceptional,beautiful view great room hotel staff friendly helpful child friendly atmosphere,Hawassa
4,Lectures at MSc. course Wonod Genet,good shower needed turn minute every morgning order get hot water floor sea view internet connection extremely unstable stable internet connection one main reason hotel chosen needed som home work afternoon,Hawassa
5,Exceptional,exceptional,Hawassa
4,Very good,good,Hawassa
5,Exceptional,nice resort right lake friendly helpful staff food numerous variety something everyone recommended family huge playground bouncy castle small train minute flight addis ideal little break hustle bustle city,Hawassa
5,Exceptional,really clean pleasant room staff extremely friendly beautiful scenery,Hawassa
4,Great location by the lake.,location great nice view lake balcony boat trip lake offer splendid experience seeing hippo different type bird living lake,Hawassa
3,Good,huge difference good bad staff behavior,Hawassa
3,Good wievs is the best,staff friendly service minded wiev hotel amazing stuning hotel bit old not date pool area bit ruff cold dirty water breakfast poor not much choose staff really try best helpfull,Hawassa
5,Exceptional,friendly staff excellent food stayed hotel family five day,Hawassa
4,Very good,people please nice service quick service room nice view hawassa lake clean enjoyed stay,Hawassa
4,"Good rooms, good views, bad food",room haile clean comfortable suite time lovely biggest complaint hotel food food terrible,Hawassa
5,Exceptional,lake bird island gelila island staff haile resort,Ziway
4,Lakeside comfort in Ziway,well kept resort friendly helpful staff arrange trip nearby lake reasonable rate location little way town handy lake,Ziway
4,Very good,air conditioning fan website not accurate,Ziway
4,Very good,staff kindness local refrigerator hot air conditioning net bed not comfortable,Ziway
4,Cofortable stay at perfect location,good location,Ziway
4,Great stay - we'll be back,wonderful stay ziway arrived allowed check room early without question breakfast great fresh egg omelette made order great coffee resort full bird fish eagle little yellow blue bird loved lush well kept property garden pool clean well presented lounge chair wooden mattress slightly broken area addressed given pool towel great bungalow small fan room sounded like airplane taking not use great mosquito mesh window sleep window open,Ziway
4,The orders are so great they are well trained of the customer service. I like to appreciate,breakfast great location easily locatable facilties like sauna steam poor tv include d tv,Ziway
3,Pleasant,not satisfied room helped u changing room need small refrigerator small lamp bedroom,Ziway
3,Pleasant,junior suite balcony not exist hotel text updated boat lake service cancelled,Ziway
0,Bad,bad,Ziway
5,Exceptional,super cite nice clean good facility gorgeous location super friendly staff,Ziway
5,Exceptional,place staff room also food,Ziway
4,Very good,good,Ziway
4,Superb,superb,Ziway
4,Very good,good,Ziway
4,Superb,superb,Ziway
4,Very good,good,Ziway
4,Very good,good,Ziway
5,Exceptional,exceptional,Ziway
5,Exceptional,exceptional,Ziway
5,Exceptional,exceptional,Ziway
3,Good,good,Ziway
3,Good,good,Ziway
4,Very good,good,Ziway
4,Very good,good,Ziway
3,Good,good,Ziway
3,Pleasant,pleasant,Ziway
5,Exceptional,room good spacious room bed adequate mattress soft resort nice garden stroll good gym nice pool breakfast typical ethiopian serf county delight abundance staff great certainly place go back,Ziway
5,Exceptional,visited hotel several time already welcomed home staff received open arm made stay nice always chat smile always given place allows strolling outside lakeside enjoy drink terras food taste internet stable available compound coffee ask local buna coffee teated delight,Ziway
4,Very good,nice welcoming staff area good food nice looking pool never used fair internet connection ethiopia price value correct garden nice observe monheys many type bird access lake shore walk way quite nice offer nice boat tour lake time not able probably next time sure come back bed good also found clean however always coming ant garden may uncomfortable people given free bottled drinking water every day housekeeping done nicely every day thing may improve rusty water come hand wash shower smell metallic rusty yellow colour probably rusted tank also nice get every room good mosquito net installed fix standard ask suggest sacrify one guest room garden install massage room able nicer place definitely best hotel option ziway come back,Ziway
2,Fair,property need lot work,Ziway
2,Reservation not honored,arrived night hotel not pre paid reservation computer gave u lesser room higher rate wedding blasting right outside door mosquito inside mosquito net surprised quality chain hotel much lower awassa stayed night,Ziway
5,Exceptional,friendliness staff deserves special mention especially manager always hand help location haile resort not better nature lover get money worth,Ziway
4,Very good,stayed garden room room nice window opened except patio door open front prefer room main building widow opened,Ziway
3,Good,getting bit tired rough around edge staff not super friendly ok fly buzzing around breakfast buffet food fact quite fly buzzing around ziway rude pool gym amanager shouting instruction guest positive swimming pool boat trip fun escape see hippo generally langano area much nicer ziway price sabana beach resort yet sabana beach idyllic,Ziway
5,Exceptional,exceptional,Ziway
5,Brilliant spot with excellent staff,place bit hard reach city centre every equipment caters comfort tiny gym sauna room inviting well broad spacious swimming pool room lake view superb enjoy sunrise window staff really assistant informative plus friendly bell boy offered change normal room room lake view extra charge traditional coffee shop next lobby pay birr overall love place really nice resort ever stayed affordable price truly recommend place,Ziway
4,Very good,nice garden well maintained good location allows pleasant walk,Ziway
4,Very good,small house nicely laid beautiful lake boat tour hippo possible,Ziway
3,Good,good stay worker not speak good english communication frustrating room good worker try hard make happy not top line good,Ziway
