Rating,Review_title,Review_comment,Hotel_site
4,"One of the best places to stay in Addis Ababa, will definitely come back. Highly recommended",hotel brand new inviting staff welcoming helpful feel safe secure around hotel airport shuttle service great friendly helpful driver order room service food sometimes not warm general literature hotel amenity room service menu etc missing suite bar inside suite fridge glass drink well towel dry dish,Addis Ababa
0,Bad,pool stayed everyone wear pool cap man usa not wear pool cap world traveler noone ever asked wear pool cap wife long braid not fit weekend ruined something state website rate day weekend ruined came pool,Addis Ababa
3,Pleasant,dislike front desk,Addis Ababa
1,Poor,lounge bar service bad,Addis Ababa
3,It is very disappointing that till now booking.com nor the hotel refunded the advance payment.,good upon checkin july told assistant front office manager mr awet ghirmy advance payment etb charged adcb debit account never received hotel pay money returned back assistance matter appreciated,Addis Ababa
1,Poor,staff horrible u,Addis Ababa
3,Very Nice property but far from the activities,staff helpful especially marketing lady keroli gave u nice tour hotel premise breakfast expectation especially bread dull dead,Addis Ababa
0,Bad,beautiful luxury hotel everything new hotel not internet day elevator not working day tv room not work phone room not work treadmill gym not work trip work trip impossible get work done hotel staff kept promising internet issue fixed asked cancel reservation remaining day left refused reimburse make new booking another hotel still not reimbursed even though manager promised get money soon receive email booking com sent several email response haile grand,Addis Ababa
2,Disappointing,added billing not disable checkout,Addis Ababa
5,I loved it,clean beautiful chilled place,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
5,top,top,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
4,Superb,superb,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Fabolous,fabolous,Addis Ababa
4,Very good,good,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
4,Very good,good,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
3,Good,good,Addis Ababa
3,Pleasant,pleasant,Addis Ababa
3,Pleasant,pleasant,Addis Ababa
0,Bad,bad,Addis Ababa
3,Good,good,Addis Ababa
1,Very poor,poor,Addis Ababa
3,Good,let smoke outside parking far street even though ashtray,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
4,Very good,good,Addis Ababa
4,Superb,superb,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Superb,superb,Addis Ababa
4,Very good,good,Addis Ababa
2,Passable,passable,Addis Ababa
5,Exceptional,staff haile grand amazing thanking hospitality professionalism special acknowledgment go mesfin beza bitania helina yidenek,Addis Ababa
5,Exceptional,staff friendly fluent english,Addis Ababa
5,Exceptional,haile grand truly grand establishment highly recommend booking stay next trip addis ababa staff friendly helpful food delicious atmosphere relaxing,Addis Ababa
5,Really great place to stay,great staff great environment food breakfast really good,Addis Ababa
5,Exceptional,around grand,Addis Ababa
5,Exceptional,property cleanest property stayed addis ababa hotel staff always ready assure comfort room comfortable stuffy carpet crisp white linen freshness unbelievably clean hotel addis strongly recommend day,Addis Ababa
5,Exceptional,simple tasteful decor ambience excellent helpful staff wonderful amenity,Addis Ababa
5,Exceptional,beautiful hotel friendly efficient staff,Addis Ababa
5,Exceptional,staff super kind helpful lovely spot stay,Addis Ababa
5,Exceptional,stay perfect,Addis Ababa
5,Exceptional,staff staff helpful info addis ababa musuems eat thing see return hotel stay first class hotel,Addis Ababa
5,Exceptional,staff super friendly helpful location good great view across addis,Addis Ababa
5,Excellent,room clean staff friendly breakfast buffet impressive wonderful time,Addis Ababa
4,Very good,awesome lovely calm property,Addis Ababa
5,Exceptional,beautiful hotel excellent customer service delicious breakfast buffet best morocco steam sunna experience not wait come back soon nigussie alemu,Addis Ababa
5,Exceptional,great customer service clean food amazing much choose happy go back,Addis Ababa
5,Exceptional,elevator not working time not nice old man like staff wonderful professional love,Addis Ababa
5,Exceptional,property brand new month old said property clean organized inviting every single staff member amazingly friendly gracious ready assist way swimming pool beautiful high standard cleanliness maintained difficult believe densely populated city,Addis Ababa
5,Exceptional,loved place staff friendly professional room gorgeous ground lovely pool area wellness center clean well organised disappointment dinner sat bar area food came cold not like not picky eater eaten lot great ethiopian food sandwich sauce tasted terrible wanted replace not longer hungry offered plate fruit nice bill came charged meal tried discus server refused even take amount not let discourage enjoying place bit bad luck,Addis Ababa
5,Exceptional,recently pleasure spending two night haile grand addis ababa hotel compelled share exceptional experience enjoyed stay moment arrived hotel ambiance exuded sophistication warmth staff welcoming demeanor set tone stay characterized genuine hospitality check process seamless attention detail evident every aspect hotel design decor one standout feature stay undoubtedly culinary experience food haile grand addis ababa surpassed expectation offering diverse delectable menu showcased finest local ethiopian international cuisine meal culinary masterpiece testament skill creativity chef whether breakfast lunch dinner every dish delightful exploration flavor level service provided hotel staff truly commendable concierge housekeeping team everyone demonstrated commitment excellence staff attention need prompt courteous response created environment felt genuinely cared throughout stay accommodation nothing short luxurious room tastefully decorated offering perfect blend comfort style attention cleanliness inclusion thoughtful amenity contributed restful indulgent experience moreover,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
3,Good,good,Addis Ababa
5,Exceptional,exceptional,Addis Ababa
4,Very good,good,Addis Ababa
5,Exceptional,suitable cozy place view room,Adama
5,Exceptional,cleanness quality service,Adama
4,Very good,food service good water pressure floor poor sometimes drop pressure come back full decrease,Adama
4,Superb,table entrance light blue rack,Adama
5,"I feel very good, confortabil and I can't wait to come back",like ristorante food room balcony like view staff nice kind not say nothing everything fine,Adama
