Rating,Review_title,Review_comment,Hotel_site,Sentiment_score,Sentiment,Review,Topic,Topic_Label
5,Excellent,room clean staff friendly breakfast buffet impressive wonderful time,Addis Ababa,0.9169,Positive,Excellent room clean staff friendly breakfast buffet impressive wonderful time,0,Room Quality and Comfort
4,Very good,awesome lovely calm property,Addis Ababa,0.8807,Positive,Very good awesome lovely calm property,2,Reception and Check-In Experience
5,Exceptional,beautiful hotel excellent customer service delicious breakfast buffet best morocco steam sunna experience not wait come back soon nigussie alemu,Addis Ababa,0.9477,Positive,Exceptional beautiful hotel excellent customer service delicious breakfast buffet best morocco steam sunna experience not wait come back soon nigussie alemu,3,Scenic Views and Surroundings
5,Exceptional,great customer service clean food amazing much choose happy go back,Addis Ababa,0.936,Positive,Exceptional great customer service clean food amazing much choose happy go back,3,Scenic Views and Surroundings
5,Exceptional,elevator not working time not nice old man like staff wonderful professional love,Addis Ababa,0.8429,Positive,Exceptional elevator not working time not nice old man like staff wonderful professional love,0,Room Quality and Comfort
5,Exceptional,property brand new month old said property clean organized inviting every single staff member amazingly friendly gracious ready assist way swimming pool beautiful high standard cleanliness maintained difficult believe densely populated city,Addis Ababa,0.948,Positive,Exceptional property brand new month old said property clean organized inviting every single staff member amazingly friendly gracious ready assist way swimming pool beautiful high standard cleanliness maintained difficult believe densely populated city,1,Staff Helpfulness and Service
5,Exceptional,loved place staff friendly professional room gorgeous ground lovely pool area wellness center clean well organised disappointment dinner sat bar area food came cold not like not picky eater eaten lot great ethiopian food sandwich sauce tasted terrible wanted replace not longer hungry offered plate fruit nice bill came charged meal tried discus server refused even take amount not let discourage enjoying place bit bad luck,Addis Ababa,0.952,Positive,Exceptional loved place staff friendly professional room gorgeous ground lovely pool area wellness center clean well organised disappointment dinner sat bar area food came cold not like not picky eater eaten lot great ethiopian food sandwich sauce tasted terrible wanted replace not longer hungry offered plate fruit nice bill came charged meal tried discus server refused even take amount not let discourage enjoying place bit bad luck,3,Scenic Views and Surroundings
5,Exceptional,recently pleasure spending two night haile grand addis ababa hotel compelled share exceptional experience enjoyed stay moment arrived hotel ambiance exuded sophistication warmth staff welcoming demeanor set tone stay characterized genuine hospitality check process seamless attention detail evident every aspect hotel design decor one standout feature stay undoubtedly culinary experience food haile grand addis ababa surpassed expectation offering diverse delectable menu showcased finest local ethiopian international cuisine meal culinary masterpiece testament skill creativity chef whether breakfast lunch dinner every dish delightful exploration flavor level service provided hotel staff truly commendable concierge housekeeping team everyone demonstrated commitment excellence staff attention need prompt courteous response created environment felt genuinely cared throughout stay accommodation nothing short luxurious room tastefully decorated offering perfect blend comfort style attention cleanliness inclusion thoughtful amenity contributed restful indulgent experience moreover,Addis Ababa,0.9963,Positive,Exceptional recently pleasure spending two night haile grand addis ababa hotel compelled share exceptional experience enjoyed stay moment arrived hotel ambiance exuded sophistication warmth staff welcoming demeanor set tone stay characterized genuine hospitality check process seamless attention detail evident every aspect hotel design decor one standout feature stay undoubtedly culinary experience food haile grand addis ababa surpassed expectation offering diverse delectable menu showcased finest local ethiopian international cuisine meal culinary masterpiece testament skill creativity chef whether breakfast lunch dinner every dish delightful exploration flavor level service provided hotel staff truly commendable concierge housekeeping team everyone demonstrated commitment excellence staff attention need prompt courteous response created environment felt genuinely cared throughout stay accommodation nothing short luxurious room tastefully decorated offering perfect blend comfort style attention cleanliness inclusion thoughtful amenity contributed restful indulgent experience moreover,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
3,Good,good,Addis Ababa,0.4404,Neutral,Good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Addis Ababa,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Addis Ababa,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,suitable cozy place view room,Adama,0,Positive,Exceptional suitable cozy place view room,1,Staff Helpfulness and Service
5,Exceptional,cleanness quality service,Adama,0,Positive,Exceptional cleanness quality service,1,Staff Helpfulness and Service
4,Very good,food service good water pressure floor poor sometimes drop pressure come back full decrease,Adama,-0.6908,Positive,Very good food service good water pressure floor poor sometimes drop pressure come back full decrease,0,Room Quality and Comfort
4,Superb,table entrance light blue rack,Adama,0,Positive,Superb table entrance light blue rack,5,Service Efficiency and Professionalism
5,"I feel very good, confortabil and I can't wait to come back",like ristorante food room balcony like view staff nice kind not say nothing everything fine,Adama,0.8627,Positive,"I feel very good, confortabil and I can't wait to come back like ristorante food room balcony like view staff nice kind not say nothing everything fine",3,Scenic Views and Surroundings
5,"We had an amazing time at Adama Haile Resort, highly recommended??!",enjoyed food staff member wonderfully kind stay location perfect,Adama,0.936,Positive,"We had an amazing time at Adama Haile Resort, highly recommended??! enjoyed food staff member wonderfully kind stay location perfect",3,Scenic Views and Surroundings
5,Exceptional,pleasant staff room space facility exceptional,Adama,0.5106,Positive,Exceptional pleasant staff room space facility exceptional,0,Room Quality and Comfort
4,Superb,vere professional staff food vary tasty,Adama,0,Positive,Superb vere professional staff food vary tasty,5,Service Efficiency and Professionalism
3,Enjoyed my stay and the staff's friendliness.,good service engaged answer question resolve problem especially service staff excellent attentive spa also provided great service cleanliness sitting area lounge,Adama,0.9269,Positive,Enjoyed my stay and the staff's friendliness. good service engaged answer question resolve problem especially service staff excellent attentive spa also provided great service cleanliness sitting area lounge,0,Room Quality and Comfort
5,very nice,staff nice bad parking,Adama,-0.1779,Positive,very nice staff nice bad parking,0,Room Quality and Comfort
4,"The location is great and it is conducive for business, rest and pleasure.",breakfast good food cold location fantastic conducive work rest secured internet not use hopefully effort made install secured internet since place far away city,Adama,0.8639,Positive,"The location is great and it is conducive for business, rest and pleasure. breakfast good food cold location fantastic conducive work rest secured internet not use hopefully effort made install secured internet since place far away city",3,Scenic Views and Surroundings
3,Good,gym health center liked food not tastefull european customer,Adama,0.4215,Neutral,Good gym health center liked food not tastefull european customer,1,Staff Helpfulness and Service
5,Exhilarating,breakfast yummy generous room r super clean organized classy pool nice well sauna bath work macchiato cappuccino breakfast menu also fix steam bath soon possible,Adama,0.9643,Positive,Exhilarating breakfast yummy generous room r super clean organized classy pool nice well sauna bath work macchiato cappuccino breakfast menu also fix steam bath soon possible,1,Staff Helpfulness and Service
1,I wish if I could write more positive about the property,location property room water morning untrained staff,Adama,0,Negative,I wish if I could write more positive about the property location property room water morning untrained staff,0,Room Quality and Comfort
3,Pleasant,room staff spa food vegeterian fasting food chilly hot better milder lot variety,Adama,0.4404,Neutral,Pleasant room staff spa food vegeterian fasting food chilly hot better milder lot variety,0,Room Quality and Comfort
1,It was a nice business meeting with helpful locals. The town is unattractive.,venue chosen organizer stay among best available not pay food course local sufficiently mild western visitor manage reasonable breakfast fruit juice squeezed one type per day lucky get fantastic pineapple pulp inside buffet lunch manageable plain rice ingera make good work afterlunch careful choose dinner made spicy mistake misunderstanding fault nice three layer fruit spritz word not know italian spritz avocado mango whatever green top local coffee among best lady not overcook room bathroom awful shower sprayed cold water around another colleague piping hot water also good not understand maid room not mind make bed also home problem electronic payment lucky different wireless different area important one meeting venue internet also mike unreliable,Adama,0.9524,Negative,It was a nice business meeting with helpful locals. The town is unattractive. venue chosen organizer stay among best available not pay food course local sufficiently mild western visitor manage reasonable breakfast fruit juice squeezed one type per day lucky get fantastic pineapple pulp inside buffet lunch manageable plain rice ingera make good work afterlunch careful choose dinner made spicy mistake misunderstanding fault nice three layer fruit spritz word not know italian spritz avocado mango whatever green top local coffee among best lady not overcook room bathroom awful shower sprayed cold water around another colleague piping hot water also good not understand maid room not mind make bed also home problem electronic payment lucky different wireless different area important one meeting venue internet also mike unreliable,0,Room Quality and Comfort
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
3,Good,good,Adama,0.4404,Neutral,Good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Superb,superb,Adama,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,over all it was nicce,nicce,Adama,0,Positive,over all it was nicce nicce,5,Service Efficiency and Professionalism
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
4,Superb,superb,Adama,0.6249,Positive,Superb superb,5,Service Efficiency and Professionalism
3,Good,good,Adama,0.4404,Neutral,Good good,2,Reception and Check-In Experience
3,Pleasant,pleasant,Adama,0.5106,Neutral,Pleasant pleasant,0,Room Quality and Comfort
3,Pleasant,pleasant,Adama,0.5106,Neutral,Pleasant pleasant,0,Room Quality and Comfort
3,Pleasant,pleasant,Adama,0.5106,Neutral,Pleasant pleasant,0,Room Quality and Comfort
1,Very poor,poor,Adama,-0.4767,Negative,Very poor poor,0,Room Quality and Comfort
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,spa really good breakfast fantastic highly recommend hotel,Adama,0.8705,Positive,Exceptional spa really good breakfast fantastic highly recommend hotel,3,Scenic Views and Surroundings
5,Exceptional,great property nice location,Adama,0.7845,Positive,Exceptional great property nice location,1,Staff Helpfulness and Service
5,Exceptional,great place stay nice stay hotel everyone nice friendly,Adama,0.9169,Positive,Exceptional great place stay nice stay hotel everyone nice friendly,1,Staff Helpfulness and Service
5,Exceptional,soo good,Adama,0.4404,Positive,Exceptional soo good,2,Reception and Check-In Experience
5,Exceptional,great experience adama haile resort great service clean well coming supporting team,Adama,0.9423,Positive,Exceptional great experience adama haile resort great service clean well coming supporting team,1,Staff Helpfulness and Service
5,Exceptional,stayed one night great time staff friendly extremely polite cooperative,Adama,0.8074,Positive,Exceptional stayed one night great time staff friendly extremely polite cooperative,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
4,Very good,good,Adama,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,exceptional,Adama,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Impressed with the improved service,visited year impressed greatly improved service also provided tea time refreshment breakfast service good room quiet comfortable eco friendly,Adama,0.9422,Positive,Impressed with the improved service visited year impressed greatly improved service also provided tea time refreshment breakfast service good room quiet comfortable eco friendly,2,Reception and Check-In Experience
5,Friendly and clean,staff friendly accommodation clean comfortable hotel well organized garden food delicious suit personally haile special juice good however tissue inconvenient remove makeup use toilet paper,Adama,0.9531,Positive,Friendly and clean staff friendly accommodation clean comfortable hotel well organized garden food delicious suit personally haile special juice good however tissue inconvenient remove makeup use toilet paper,3,Scenic Views and Surroundings
5,Exceptional,really try thank abreham customer service excellent ever want go recommend,Adama,0.8511,Positive,Exceptional really try thank abreham customer service excellent ever want go recommend,3,Scenic Views and Surroundings
5,Exceptional,clean great staff delicious food great amenity,Arba Minch,0.9393,Positive,Exceptional clean great staff delicious food great amenity,3,Scenic Views and Surroundings
5,Exceptional,beautiful hotel location helpful staff,Arba Minch,0.7717,Positive,Exceptional beautiful hotel location helpful staff,1,Staff Helpfulness and Service
5,Exceptional,lovely area gorgeous view highly recommend visiting dorze village boat ride hiking spring,Arba Minch,0.8908,Positive,Exceptional lovely area gorgeous view highly recommend visiting dorze village boat ride hiking spring,1,Staff Helpfulness and Service
5,Exceptional,excellent service great quality,Arba Minch,0.8316,Positive,Exceptional excellent service great quality,1,Staff Helpfulness and Service
5,Exceptional,nice vacation place,Arba Minch,0.4215,Positive,Exceptional nice vacation place,1,Staff Helpfulness and Service
5,Exceptional,everything good professional breakfast spa massage pool worker hotel polite general really enjoyed stay haile resort thank hope come,Arba Minch,0.8977,Positive,Exceptional everything good professional breakfast spa massage pool worker hotel polite general really enjoyed stay haile resort thank hope come,5,Service Efficiency and Professionalism
5,Exceptional,enjoyed amazing view courteous customer atmosphere every stuff member property starting airport shuttle service way hotel stay,Arba Minch,0.886,Positive,Exceptional enjoyed amazing view courteous customer atmosphere every stuff member property starting airport shuttle service way hotel stay,1,Staff Helpfulness and Service
5,Exceptional,clean resort beautiful view,Arba Minch,0.765,Positive,Exceptional clean resort beautiful view,1,Staff Helpfulness and Service
4,Very good,hotel staff great not really helpful arranging transportation option visit local township wifi access unstable especially room,Arba Minch,0.0132,Positive,Very good hotel staff great not really helpful arranging transportation option visit local township wifi access unstable especially room,2,Reception and Check-In Experience
5,Exceptional,super friendly hospitality amazing room clean,Arba Minch,0.9274,Positive,Exceptional super friendly hospitality amazing room clean,1,Staff Helpfulness and Service
5,Exceptional,amazing view,Arba Minch,0.5859,Positive,Exceptional amazing view,1,Staff Helpfulness and Service
4,Very good,thanks,Arba Minch,0.4404,Positive,Very good thanks,0,Room Quality and Comfort
5,Exceptional,absolutely stunning place exceptional customer service highly recommend,Arba Minch,0.6894,Positive,Exceptional absolutely stunning place exceptional customer service highly recommend,3,Scenic Views and Surroundings
5,Two thumbs up,absolutely loved stay haile view amazing food great staff terrific swam pool everyday enjoyed gym well sad leave back,Arba Minch,0.9538,Positive,Two thumbs up absolutely loved stay haile view amazing food great staff terrific swam pool everyday enjoyed gym well sad leave back,5,Service Efficiency and Professionalism
5,Coming back for sure,expected lot exceeded starting friendly reception good management handling minor complaint clean top experience,Arba Minch,0.8126,Positive,Coming back for sure expected lot exceeded starting friendly reception good management handling minor complaint clean top experience,2,Reception and Check-In Experience
5,THE NAME SPEAKS BY ITSELF- HAILE RESORT,organized accommodating thank comfort wonderful experience stay infact name speaks lot haile resort addis workessa,Arba Minch,0.8271,Positive,THE NAME SPEAKS BY ITSELF- HAILE RESORT organized accommodating thank comfort wonderful experience stay infact name speaks lot haile resort addis workessa,4,Food Quality and Dining Experience
5,Exceptional,everything,Arba Minch,0,Positive,Exceptional everything,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,nice hotel well equipped magnificent view pool side staff attentive need responsive efficient gave nice surprise birthday highly recommend,Arba Minch,0.9628,Positive,Exceptional nice hotel well equipped magnificent view pool side staff attentive need responsive efficient gave nice surprise birthday highly recommend,0,Room Quality and Comfort
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,cleanliness friendly staff,Arba Minch,0.4939,Positive,Exceptional cleanliness friendly staff,1,Staff Helpfulness and Service
5,Exceptional,staff super nice,Arba Minch,0.7717,Positive,Exceptional staff super nice,0,Room Quality and Comfort
5,Wonderful visit'Loved Our Stay,rented premium suite family five added comfortable cot day two extremely comfortable adjoining room connected living area middle worth pay extra wake sunrise lake mountain absolutely gorgeous view air conditioning great asset shower pressure comfortably strong included morning buffet great la carte menu took hour prepare every time cost time feed five u convenient eat hotel sometimes food better cheaper paradise lodge tourisy hotel,Arba Minch,0.9873,Positive,Wonderful visit'Loved Our Stay rented premium suite family five added comfortable cot day two extremely comfortable adjoining room connected living area middle worth pay extra wake sunrise lake mountain absolutely gorgeous view air conditioning great asset shower pressure comfortably strong included morning buffet great la carte menu took hour prepare every time cost time feed five u convenient eat hotel sometimes food better cheaper paradise lodge tourisy hotel,2,Reception and Check-In Experience
5,Perfect ! Amazing !,amazing thanks every one haile resort hope see,Arba Minch,0.8625,Positive,Perfect ! Amazing ! amazing thanks every one haile resort hope see,4,Food Quality and Dining Experience
5,magnificent,professional best service ever get thanks,Arba Minch,0.7964,Positive,magnificent professional best service ever get thanks,0,Room Quality and Comfort
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,international standard breakfast room cleaniness profesional staff service,Arba Minch,0,Positive,Exceptional international standard breakfast room cleaniness profesional staff service,1,Staff Helpfulness and Service
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Exceptional,excellent stay family highly recommend people,Arba Minch,0.7574,Positive,Exceptional excellent stay family highly recommend people,1,Staff Helpfulness and Service
5,Exceptional,stay frequently count excellent service everything working order stress free staff wonderful like food much,Arba Minch,0.886,Positive,Exceptional stay frequently count excellent service everything working order stress free staff wonderful like food much,0,Room Quality and Comfort
5,Amazing staff with stunning scenery??,short amazing stay haile arbaminch helpful staff amazing smile clean environment breathtaking scenery cliff food taste great highly recommend lake side room best terrace view not run activity wish hotel extends guest complementary facility courtesy shuttle pickup time rather checkout time afternoon airport shuttle service deeply satisfied proud recommend hotel,Arba Minch,0.9904,Positive,Amazing staff with stunning scenery?? short amazing stay haile arbaminch helpful staff amazing smile clean environment breathtaking scenery cliff food taste great highly recommend lake side room best terrace view not run activity wish hotel extends guest complementary facility courtesy shuttle pickup time rather checkout time afternoon airport shuttle service deeply satisfied proud recommend hotel,3,Scenic Views and Surroundings
4,Very good,great view abaya chamo lake good restaurant cleanness property,Arba Minch,0.7906,Positive,Very good great view abaya chamo lake good restaurant cleanness property,1,Staff Helpfulness and Service
5,Exceptional,beautiful view super clean everything worked great shower bathroom delicious food love staying,Arba Minch,0.9735,Positive,Exceptional beautiful view super clean everything worked great shower bathroom delicious food love staying,3,Scenic Views and Surroundings
5,Exceptional,hotel international standard service amenity including spa food superb variety location hotel scenic overlooking lake hill lash forest good getaway location away busy city,Arba Minch,0.7906,Positive,Exceptional hotel international standard service amenity including spa food superb variety location hotel scenic overlooking lake hill lash forest good getaway location away busy city,3,Scenic Views and Surroundings
5,Exceptional,mesmerised perfect hotel heavenly kind customer service thing say god bless whole staff haile resort keep nice service,Arba Minch,0.9571,Positive,Exceptional mesmerised perfect hotel heavenly kind customer service thing say god bless whole staff haile resort keep nice service,3,Scenic Views and Surroundings
3,Good,spa really good people working spa department really good job generally employee working property treat customer really good room aminities like shampoo rooth paste shower cup paying lot doesnt even get basic aminities additionally food haile resort doesnt taste really good ua priced need work resturants,Arba Minch,0.9515,Positive,Good spa really good people working spa department really good job generally employee working property treat customer really good room aminities like shampoo rooth paste shower cup paying lot doesnt even get basic aminities additionally food haile resort doesnt taste really good ua priced need work resturants,2,Reception and Check-In Experience
5,Exceptional,great staff hotel best respectful far accommodate need customer love,Arba Minch,0.9477,Positive,Exceptional great staff hotel best respectful far accommodate need customer love,3,Scenic Views and Surroundings
5,Room was spacious and clean. Staff vary friendly,room spacious clean staff friendly helpful hotel good location close restaurant amenity,Arba Minch,0.891,Positive,Room was spacious and clean. Staff vary friendly room spacious clean staff friendly helpful hotel good location close restaurant amenity,4,Food Quality and Dining Experience
5,Exceptional,haile resort excellent every sense,Arba Minch,0.5719,Positive,Exceptional haile resort excellent every sense,3,Scenic Views and Surroundings
4,Very good,like cleanness room restaurant serviceis excellent royal level reception start right gate follows way untill leave resort steam sauna spa complimentary massage also reasonable price couple thing not like book two room family charged addtion bed broght kid bit strange based experinces north american hotles try best accomodate guest another strange thing check wait till someone sent check room not know necessay specially credit card info opnion expected trust guest,Arba Minch,0.9524,Positive,Very good like cleanness room restaurant serviceis excellent royal level reception start right gate follows way untill leave resort steam sauna spa complimentary massage also reasonable price couple thing not like book two room family charged addtion bed broght kid bit strange based experinces north american hotles try best accomodate guest another strange thing check wait till someone sent check room not know necessay specially credit card info opnion expected trust guest,4,Food Quality and Dining Experience
4,Very good,good,Arba Minch,0.4404,Positive,Very good good,2,Reception and Check-In Experience
5,Exceptional,attentive staff meet expectation everything good,Arba Minch,0.4404,Positive,Exceptional attentive staff meet expectation everything good,0,Room Quality and Comfort
4,Very good,nice relaxing,Arba Minch,0.7184,Positive,Very good nice relaxing,0,Room Quality and Comfort
4,Very good,multiple time last year continues always clean neat food improving nicely service many time slow even people hotel covid service staff friendly nice gym cleaner machine working close door night limit mosquito hotel lobby,Arba Minch,0.9531,Positive,Very good multiple time last year continues always clean neat food improving nicely service many time slow even people hotel covid service staff friendly nice gym cleaner machine working close door night limit mosquito hotel lobby,1,Staff Helpfulness and Service
4,Very good,location hill overlooking lake good staff food also good however front desk not provide tourist information access nearby world heritage site look since hotel good location nice tour desk guest ample time budget seem rent go one staying hotel seems go world famous konso poor local minibus,Arba Minch,0.8126,Positive,Very good location hill overlooking lake good staff food also good however front desk not provide tourist information access nearby world heritage site look since hotel good location nice tour desk guest ample time budget seem rent go one staying hotel seems go world famous konso poor local minibus,1,Staff Helpfulness and Service
4,Very good,scenery escarpment jungle lake hill background great,Arba Minch,0.6249,Positive,Very good scenery escarpment jungle lake hill background great,2,Reception and Check-In Experience
5,Our best hotel experience in Ethiopia,best hotel experience ethiopia place nice beautiful view lake establishment recent well equipped comfortable restaurant good staff attentive,Arba Minch,0.9595,Positive,Our best hotel experience in Ethiopia best hotel experience ethiopia place nice beautiful view lake establishment recent well equipped comfortable restaurant good staff attentive,1,Staff Helpfulness and Service
3,Good,clean sharp great view great help staff,Arba Minch,0.9274,Positive,Good clean sharp great view great help staff,4,Food Quality and Dining Experience
5,Exceptional,great location view staff helpful good food,Arba Minch,0.8689,Positive,Exceptional great location view staff helpful good food,5,Service Efficiency and Professionalism
4,Very good,new hotel arba minch beautifully located rift valley natural reserve forest valley lake nice facility good food nice staff good opportunity excursion spring lake chamo dorze village,Arba Minch,0.9607,Positive,Very good new hotel arba minch beautifully located rift valley natural reserve forest valley lake nice facility good food nice staff good opportunity excursion spring lake chamo dorze village,0,Room Quality and Comfort
5,Exceptional,exceptional,Arba Minch,0,Positive,Exceptional exceptional,1,Staff Helpfulness and Service
5,Attentive and exceptional location for a sweet short stay,hospitality attentiveness staff beginning end welcoming professional nothing not like staff performed role consideration according person personal preference,Arba Minch,0.5749,Positive,Attentive and exceptional location for a sweet short stay hospitality attentiveness staff beginning end welcoming professional nothing not like staff performed role consideration according person personal preference,0,Room Quality and Comfort
5,Exceptional,customer service staff well trained smiled every conversation elevator not working stay,Arba Minch,0.6808,Positive,Exceptional customer service staff well trained smiled every conversation elevator not working stay,4,Food Quality and Dining Experience
4,Superb,real good service friendly staff good room great view not much probably continental meal option ethiopian cuisine however good,Arba Minch,0.9432,Positive,Superb real good service friendly staff good room great view not much probably continental meal option ethiopian cuisine however good,5,Service Efficiency and Professionalism
4,Very good,excellent breakfast beautiful location friendly staff weak wifi connection poor house keeping reminded clean room,Arba Minch,0.8176,Positive,Very good excellent breakfast beautiful location friendly staff weak wifi connection poor house keeping reminded clean room,1,Staff Helpfulness and Service
4,Superb,staff exceptional specially lady called meskerem work chef went beyond make sure need met view mesmerizing relaxing,Arba Minch,0.6705,Positive,Superb staff exceptional specially lady called meskerem work chef went beyond make sure need met view mesmerizing relaxing,4,Food Quality and Dining Experience
5,Exceptional,really love place staff professionalism totally feel like family memorable place,Arba Minch,0.8059,Positive,Exceptional really love place staff professionalism totally feel like family memorable place,0,Room Quality and Comfort
5,Beautiful place,location staff food highlight stay,Arba Minch,0.34,Positive,Beautiful place location staff food highlight stay,5,Service Efficiency and Professionalism
4,Superb,staff helpful location far city,Arba Minch,0.4215,Positive,Superb staff helpful location far city,5,Service Efficiency and Professionalism
4,Extraordinary stay and comfort.,diverse really nutritional,Arba Minch,0,Positive,Extraordinary stay and comfort. diverse really nutritional,5,Service Efficiency and Professionalism
5,Wonderful,exceptional staff front desk business office housekeeping particularly dining room bed comfortable,Arba Minch,0.5106,Positive,Wonderful exceptional staff front desk business office housekeeping particularly dining room bed comfortable,1,Staff Helpfulness and Service
4,Very good,staff exceptionally knowledgeable welcoming went way ensure taken care ambience resort quite breathtaking breakfast buffet quite nice offered english menu item definitely recommend anyone visiting arba minche negative part stay wifi wifi absolutely horrible worked day throughout resort never worked room use phone data portable myfi room,Arba Minch,0.9016,Positive,Very good staff exceptionally knowledgeable welcoming went way ensure taken care ambience resort quite breathtaking breakfast buffet quite nice offered english menu item definitely recommend anyone visiting arba minche negative part stay wifi wifi absolutely horrible worked day throughout resort never worked room use phone data portable myfi room,5,Service Efficiency and Professionalism
4,fine stay with gorgeous views of two lakes,beautiful view friendly helpful staff,Arba Minch,0.872,Positive,fine stay with gorgeous views of two lakes beautiful view friendly helpful staff,5,Service Efficiency and Professionalism
4,Superb,arrived told booking recieved didnt include lake view however booking disagreed staff customer friendly next day lake view room available switched u room great standard best placed ive stayed ethiopia pool great clean not evening activites like live music,Arba Minch,0.9422,Positive,Superb arrived told booking recieved didnt include lake view however booking disagreed staff customer friendly next day lake view room available switched u room great standard best placed ive stayed ethiopia pool great clean not evening activites like live music,4,Food Quality and Dining Experience
4,Highly recommend! Worth a visit.,fantastic view wonderful service staff friendly polite attentive english limited thing difficult communicate,Arba Minch,0.7964,Positive,Highly recommend! Worth a visit. fantastic view wonderful service staff friendly polite attentive english limited thing difficult communicate,1,Staff Helpfulness and Service
5,Exceptional hotel in beautiful location,much like hotel setting looking forest lake mountain stunning service first class every member staff eager please mr getasew particularly impressive ensured stay enjoyable possible nice choice breakfast room comfortable spotlessly clean stress importance booking lake view room much part experience hotel watching sunrise balcony real highlight cannot recommend hotel enough say must stay place arba minch anyone interested touring perfect stay short break people wishing relaxation beautiful location enjoy longer leisure facility quality hotel area top accommodation hard find communication via amessages booking com not usual standard need tweaking,Arba Minch,0.9914,Positive,Exceptional hotel in beautiful location much like hotel setting looking forest lake mountain stunning service first class every member staff eager please mr getasew particularly impressive ensured stay enjoyable possible nice choice breakfast room comfortable spotlessly clean stress importance booking lake view room much part experience hotel watching sunrise balcony real highlight cannot recommend hotel enough say must stay place arba minch anyone interested touring perfect stay short break people wishing relaxation beautiful location enjoy longer leisure facility quality hotel area top accommodation hard find communication via amessages booking com not usual standard need tweaking,1,Staff Helpfulness and Service
4,An excellent experience! Would recommend for anyone but smokers :D,almost everything one place smoking paying thing always bit slow,Arba Minch,0,Positive,An excellent experience! Would recommend for anyone but smokers :D almost everything one place smoking paying thing always bit slow,0,Room Quality and Comfort
4,Very good,really satisfied enjoy thanks haile resort bad environment,Arba Minch,0.7379,Positive,Very good really satisfied enjoy thanks haile resort bad environment,5,Service Efficiency and Professionalism
